,encoding_id,value,meaning,showcase_order
0,1,1,Yes,1
1,4,1185,vitamin e product [ctsu],0
2,4,1187,chondroitin product,0
3,4,1189,co-enzyme q10/ubiquinone/bio-quinone/coenzyme q10,0
4,4,1191,indigestion remedy (over the counter),0
5,4,1193,omega-3/fish oil supplement,0
6,4,1195,vitamin c product,0
7,4,1197,evening primrose oil product,0
8,4,1199,food supplement/plant/herbal extract,0
9,4,1201,st john's wort/hypericum [ctsu],0
10,4,1203,aloe vera product,0
11,4,1205,saw palmetto product,0
12,4,1207,unknown supplement,0
13,4,99999,"Free-text entry, unable to be coded",0
14,4,1140850692,aludrox gel,0
15,4,1140850708,dijex liquid,0
16,4,1140850712,diovol fruit flavour suspension,0
17,4,1140850714,droxalin tablet,0
18,4,1140850716,dynese orange flavour suspension,0
19,4,1140850720,gastrils 500mg green (mint) pastille,0
20,4,1140850722,gastrils 500mg yellow (fruit) pastille,0
21,4,1140850726,gelusil tablet,0
22,4,1140850746,malinal 500mg/5ml suspension,0
23,4,1140850748,mucogel tablet,0
24,4,1140850750,phazyme tablet,0
25,4,1140850752,polyalk suspension,0
26,4,1140850760,alexitol sodium 360mg tablet,0
27,4,1140850762,almasilate 500mg/5ml suspension,0
28,4,1140850770,actal 360mg/5ml suspension,0
29,4,1140850776,altacaps 500mg tablet,0
30,4,1140850788,andursil suspension,0
31,4,1140850792,antasil liquid,0
32,4,1140850818,prodexin tablet,0
33,4,1140850822,siloxyl suspension,0
34,4,1140850826,simeco suspension,0
35,4,1140850830,unigest tablet,0
36,4,1140850836,peptard 0.2mg tablet,0
37,4,1140850838,kolantyl gel,0
38,4,1140850842,robinul 2mg tablet,0
39,4,1140850852,piperidolate hydrochloride,0
40,4,1140850854,dactil 50mg tablet,0
41,4,1140850858,colven 135mg granules,0
42,4,1140850870,app stomach tablet,0
43,4,1140850874,cantil+phenobarbitone tablet,0
44,4,1140850876,emetrol solution,0
45,4,1140850878,libraxin tablet,0
46,4,1140850902,nulacin tablet,0
47,4,1140850904,roter tablet,0
48,4,1140850906,titralac tablet,0
49,4,1140850914,eumydrin 0.6% solution,0
50,4,1140850920,aluminium hydroxide+belladonna mixture,0
51,4,1140850922,belladonna paediatric 0.05mg/5ml liquid,0
52,4,1140850924,magnesium trisilicate+belladonna 0.15mg tablet,0
53,4,1140850926,alka-donna tablet,0
54,4,1140850930,aluhyde tablet,0
55,4,1140850932,bellocarb tablet,0
56,4,1140850934,carbellon tablet,0
57,4,1140850936,neutradonna tablet,0
58,4,1140850954,biogastrone 50mg tablet,0
59,4,1140850956,duogastrone 50mg tablet,0
60,4,1140850960,rabro tablet,0
61,4,1140850966,vi-siblin 66% granules,0
62,4,1140850982,cellucon 500mg tablet,0
63,4,1140850984,cologel 900mg/10ml mixture,0
64,4,1140850996,alvercol granules 500g,0
65,4,1140851000,dulcodos tablet,0
66,4,1140851022,ceratonia,0
67,4,1140851024,arobon 80% powder,0
68,4,1140851028,chalk,0
69,4,1140851040,aromatic chalk + opium mixture,0
70,4,1140851046,flar capsule,0
